,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
752,output52_ligand428_2023-11-21-14:35,-7.91,-0.143199999999998,401.25258583999994,1.4623750859329745,[27.0599579  45.87952455 32.28016055]
753,output417_ligand766_2023-11-21-14:35,-7.91,3.2359000000000018,320.207548144,1.71986720298741,[47.88136493 21.56756187 39.04081785]
754,output44_ligand927_2023-11-21-14:35,-7.907,2.3401000000000005,284.198759376,1.6593129508315965,[35.74897308 44.18084282 27.49885474]
755,output52_ligand989_2023-11-21-14:35,-7.906,2.0447000000000006,242.188194692,1.7792333585654418,[25.81025209 41.80345433 31.66325025]
756,output413_ligand223_2023-11-21-14:35,-7.904,2.5665000000000013,410.362076712,1.2637056879231454,[36.26822848 45.98383284 27.56144464]
757,output44_ligand556_2023-11-21-14:35,-7.903,1.9662999999999997,254.23581358,1.708650669852812,[31.34801468 43.11819948 27.97091084]
758,output413_ligand479_2023-11-21-14:35,-7.903,3.788300000000002,467.30692992,1.3410655802011477,[31.87804922 45.65864483 28.53954147]
759,output44_ligand366_2023-11-21-14:35,-7.902,-0.010999999999999455,374.235161948,1.4549100854897328,[38.38833792 46.76256551 27.05689003]
760,output44_ligand463_2023-11-21-14:35,-7.901,1.2897000000000007,426.309372444,1.3644371658143668,[29.70543246 46.08382747 31.67975497]
761,output417_ligand812_2023-11-21-14:35,-7.901,3.3770000000000016,388.19493277199996,1.860156378742035,[36.81670447 34.23902358 28.80183936]
762,output413_ligand305_2023-11-21-14:35,-7.9,-0.8444999999999951,437.300204728,1.1061361935067802,[33.6170464  46.12344924 27.97264391]
763,output417_ligand780_2023-11-21-14:35,-7.9,2.6814,377.304227488,1.2970452058818989,[34.79045393 31.61199864 27.84054706]
764,output52_ligand326_2023-11-21-14:35,-7.899,1.5496000000000034,526.303635432,1.5021837197277217,[32.37353375 47.60820547 31.02427085]
765,output52_ligand298_2023-11-21-14:35,-7.899,0.0,0.0,0.0,"[0, 0, 0]"
766,output52_ligand1_2023-11-21-14:35,-7.898,-0.1916999999999991,374.2693192,1.5327966804587214,[26.33842132 44.32635428 31.87535754]
767,output44_ligand55_2023-11-21-14:35,-7.898,2.2864000000000004,360.2624222519999,1.695510573378917,[33.46756697 44.3525648  28.40967765]
768,output44_ligand915_2023-11-21-14:35,-7.898,3.733400000000003,233.21434986399998,1.5217899735619282,[31.60990415 43.70574781 28.62728088]
