,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
1902,output44_ligand705_2023-11-22-15:52,-7.04032707,3.1625000000000014,282.267113708,2.0027012349222484,[34.4318265  43.48378842 26.7828242 ]
1903,output44_ligand365_2023-11-22-15:52,-7.03972292,1.4496999999999998,324.18247626799996,1.8784406532377997,[35.78079225 46.39502604 28.33125163]
1904,output413_ligand532_2023-11-22-15:52,-7.03930283,1.0525,315.240958536,1.7890374180306936,[32.60248344 44.23832377 28.56524709]
1905,output52_ligand484_2023-11-22-15:52,-7.03914785,1.8863999999999992,353.2566086,1.4754315661430961,[27.65041943 46.30685534 32.65927771]
1906,output413_ligand95_2023-11-22-15:52,-7.03896999,0.0,0.0,0.0,"[0, 0, 0]"
1907,output26_ligand542_2023-11-22-15:52,-7.03839731,1.8812999999999998,314.22055743999994,1.662503723909762,[30.33803934 45.1792567  30.63060329]
1908,output413_ligand302_2023-11-22-15:52,-7.03835678,1.1539,270.187817832,1.3354341592943089,[32.97805892 44.25752892 28.86185318]
1909,output12_ligand496_2023-11-22-15:52,-7.03817225,4.571700000000003,540.339707268,1.175664594046529,[33.05537284 47.8341243  26.89366069]
1910,output52_ligand24_2023-11-22-15:52,-7.03762436,-2.313499999999996,351.21918438809,1.2165208127074134,[29.02419397 47.10671121 32.79290825]
1911,output413_ligand474_2023-11-22-15:52,-7.03741693,1.1848000000000012,470.3355871919999,1.4623809626500726,[33.46382472 46.397049   28.759203  ]
1912,output413_ligand313_2023-11-22-15:52,-7.03648043,2.6912000000000003,321.27801274,1.3755211427444944,[32.15611907 44.32338705 28.24802164]
1913,output417_ligand800_2023-11-22-15:52,-7.03603315,6.39550000000001,460.3916455239999,1.5516214886615702,[35.66128031 47.49843144 24.21520315]
1914,output413_ligand549_2023-11-22-15:52,-7.03579807,5.324200000000006,366.36101409199995,1.6395820146204154,[35.41473202 44.74495436 27.12179623]
1915,output52_ligand140_2023-11-22-15:52,-7.03529072,0.7256000000000002,321.20638459599996,1.7555295909411193,[28.69993451 44.61196202 31.70114228]
1916,output44_ligand409_2023-11-22-15:52,-7.03424549,3.2314000000000025,270.21949482,1.805893738129236,[33.91292643 44.04327332 27.37610737]
1917,output413_ligand158_2023-11-22-15:52,-7.03332329,1.5102000000000009,294.278347088,1.5822477740154977,[38.31348894 46.08565956 26.35990297]
1918,output52_ligand157_2023-11-22-15:52,-7.03290415,-0.7470000000000003,424.1701787439999,1.4713843146519934,[35.01273956 49.16043089 30.64975242]
1919,output44_ligand776_2023-11-22-15:52,-7.03253174,3.1782000000000012,307.175913668,1.8802808583150534,[35.62131692 45.67704846 28.10496721]
1920,output417_ligand263_2023-11-22-15:52,-7.03235435,0.9438000000000002,387.30970679200004,1.67835521835739,[31.9883779  47.12285963 27.92567567]
1921,output26_ligand53_2023-11-22-15:52,-7.03164339,3.146200000000002,282.21949482,1.5476312171915518,[29.80923112 44.5332541  30.59235599]
1922,output417_ligand358_2023-11-22-15:52,-7.03131723,3.463200000000003,546.4131688159999,1.3733323962644755,[33.01395994 46.16369776 27.09730735]
1923,output26_ligand88_2023-11-22-15:52,-7.03124571,1.3184000000000005,369.29914210800007,1.5439565872406633,[31.3372901  44.8722151  28.81611603]
1924,output12_ligand234_2023-11-22-15:52,-7.03070736,2.437800000000001,433.24980896799997,1.375199045707881,[34.18068585 47.11355852 27.78094993]
1925,output44_ligand323_2023-11-22-15:52,-7.02939939,0.9257,258.194342692,1.6875477623689636,[33.23672678 44.05983285 28.11999692]
1926,output44_ligand50_2023-11-22-15:52,-7.02848768,-0.2119000000000002,286.189257312,1.7904525926805692,[31.48459427 45.10582439 29.75051529]
1927,output12_ligand45_2023-11-22-15:52,-7.02826118,2.7043999999999997,340.252606516,1.3459285957175169,[31.87653124 46.5065994  30.15360773]
1928,output417_ligand100_2023-11-22-15:52,-7.02623129,1.2743000000000002,355.283492044,1.3607541114140131,[28.00446763 43.27658171 25.99255529]
1929,output26_ligand250_2023-11-22-15:52,-7.02609491,2.2975000000000003,368.2497493919999,1.5661449341511935,[31.07628767 45.58622583 29.04805236]
1930,output26_ligand21_2023-11-22-15:52,-7.02587938,-1.0454999999999972,325.24777523200004,1.4761703946869076,[30.44723991 45.05156782 29.87670889]
1931,output52_ligand538_2023-11-22-15:52,-7.0252738,3.5115000000000025,313.207550232,1.475123012573856,[28.87844226 44.57877569 31.07251102]
1932,output26_ligand438_2023-11-22-15:52,-7.02482939,-0.25699999999999945,360.219511884,1.4377862346557317,[30.25716097 45.72038644 31.17878931]
1933,output413_ligand517_2023-11-22-15:52,-7.02427197,1.0911999999999997,269.199093724,1.838963477072783,[30.10598105 43.73146401 27.85445354]
1934,output44_ligand490_2023-11-22-15:52,-7.02415037,3.475200000000002,509.37163835199993,1.3780650933389766,[34.93453443 46.06365682 27.23710441]
1935,output413_ligand145_2023-11-22-15:52,-7.0234623,1.3844000000000003,416.2821121399999,1.4168943041535922,[34.67283571 45.68787777 28.19980412]
1936,output52_ligand460_2023-11-22-15:52,-7.02313662,0.20860000000000078,444.289448672,1.621052383620582,[30.17566316 46.19119806 31.4771912 ]
1937,output44_ligand579_2023-11-22-15:52,-7.02311087,2.0552,252.220163516,1.530669788327307,[37.04770659 44.48024249 26.6238329 ]
1938,output26_ligand763_2023-11-22-15:52,-7.02279615,1.962799999999999,238.204513452,1.7056300145151688,[28.58027919 44.85339417 32.1908612 ]
1939,output413_ligand102_2023-11-22-15:52,-7.022645,0.0,0.0,0.0,"[0, 0, 0]"
1940,output26_ligand648_2023-11-22-15:52,-7.02113628,2.4174000000000007,291.26744805600003,1.4977985118338342,[29.64429606 43.95386818 30.4494598 ]
1941,output44_ligand720_2023-11-22-15:52,-7.01972961,2.9518000000000018,239.22491454800002,1.7792333585654418,[36.7218715  43.8092734  26.18597557]
1942,output413_ligand360_2023-11-22-15:52,-7.01855135,0.5629,271.14747539609,1.3250141439042697,[32.52106336 45.24225649 29.55290554]
1943,output413_ligand616_2023-11-22-15:52,-7.01849461,0.02780000000000249,353.209675472,1.859605110136698,[33.46172158 45.91079863 29.14350894]
1944,output12_ligand59_2023-11-22-15:52,-7.01773643,6.187900000000007,458.3872288399999,1.0625667917727581,[27.53080339 45.34907236 31.28939745]
1945,output12_ligand13_2023-11-22-15:52,-7.01766014,1.2916999999999994,339.240958536,1.6734167362426957,[28.62660998 45.52968032 30.85738855]
1946,output26_ligand424_2023-11-22-15:52,-7.01764584,3.6171000000000024,333.31439824800003,1.4349981207506959,[29.22393691 45.00367406 30.3551827 ]
1947,output413_ligand153_2023-11-22-15:52,-7.01764154,1.8027999999999997,353.2566086,1.389043941727505,[32.51482822 45.31718396 28.65644881]
1948,output12_ligand72_2023-11-22-15:52,-7.01742506,0.5139000000000022,440.336255888,1.4247193449396112,[30.01243119 46.96351373 31.81006004]
1949,output413_ligand202_2023-11-22-15:52,-7.01681519,0.0,0.0,0.0,"[0, 0, 0]"
